Sample	Name	Reads1WithAdapter	Reads2WithAdapter
371	2229	0	0
372	2265	0	0
373	2303	0	0
374	2305	0	0
375	2365	0	0
376	YE014	0	0
377	4508	0	0
378	4917	0	0
379	2436	0	0
380	2453	0	0
381	2478	0	0
382	2484	0	0
383	2501	0	0
384	3619	0	0
