Sample	Name	Reads1WithAdapter	Reads2WithAdapter
1	1540	0	0
2	1589	0	0
3	1600	0	0
4	1601	0	0
5	1615	0	0
6	1616	0	0
7	1617	0	0
8	1628	0	0
9	1629	0	0
10	1642	0	0
11	1651	0	0
12	1654	0	0
13	1655	0	0
14	1661	0	0
15	1663	0	0
16	3008	0	0
17	3091	0	0
18	3131	0	0
19	3134	0	0
20	3170	0	0
21	3208	0	0
22	3242	0	0
23	3276	0	0
24	3307	0	0
25	3333	0	0
26	3557	0	0
27	3714	0	0
28	4072	0	0
29	4086	0	0
30	4099	0	0
31	4131	0	0
32	4140	0	0
33	4191	0	0
34	4487	0	0
35	4495	0	0
36	4498	0	0
37	4499	0	0
38	4500	0	0
39	4502	0	0
40	4503	0	0
41	4509	0	0
42	4513	0	0
43	4515	0	0
44	4516	0	0
45	4517	0	0
46	4522	0	0
47	4531	0	0
48	4551	0	0
49	1571	0	0
50	1575	0	0
51	1579	0	0
52	1587	0	0
53	1611	0	0
54	1638	0	0
55	3003	0	0
56	3021	0	0
57	3023	0	0
58	3034	0	0
59	3054	0	0
60	3108	0	0
61	3135	0	0
62	3155	0	0
63	3174	0	0
64	3175	0	0
65	3178	0	0
66	3183	0	0
67	3187	0	0
68	3193	0	0
69	3196	0	0
70	3202	0	0
71	3203	0	0
72	3205	0	0
73	3219	0	0
74	3229	7	0
75	3240	0	0
76	3248	0	0
77	3251	0	0
78	3252	0	0
79	3263	0	0
80	3264	0	0
81	3266	0	0
82	3268	0	0
83	3269	0	0
84	3277	0	0
85	3281	0	0
86	3288	0	0
87	3289	0	0
88	3301	0	0
89	3313	0	0
90	3321	0	0
91	3324	0	0
92	3326	0	0
93	4645	0	0
94	4806	0	0
95	4862	0	0
96	4957	0	0
97	1433	0	0
98	1468	0	0
99	1475	0	0
100	1496	0	0
101	1506	0	0
102	1536	0	0
103	1542	0	0
104	1586	0	0
105	1724	0	0
106	1812	0	0
107	1824	0	0
108	184	0	0
109	1849	0	0
110	1860	0	0
111	1869	0	0
112	1927	0	0
113	1946	0	0
114	1957	0	0
115	1981	0	0
116	1988	0	0
117	2002	0	0
118	2004	0	0
119	2007	0	0
120	2017	0	0
121	2028	0	0
122	2041	0	0
123	2049	0	0
124	2052	0	0
125	2056	0	0
126	2063	0	0
127	2074	0	0
128	2088	0	0
129	2094	0	0
130	2096	0	0
131	2115	0	0
132	2124	0	0
133	2126	0	0
134	2145	0	0
135	2169	7	0
136	2180	0	0
137	2510	0	0
138	3042	0	0
139	3048	0	0
140	3128	0	0
141	3180	0	0
142	3186	0	0
143	3195	0	0
144	3209	0	0
145	1369	0	0
146	1426	0	0
147	1488	0	0
148	1549	0	0
149	1594	0	0
150	1641	0	0
151	1646	0	0
152	1673	0	0
153	1752	0	0
154	1726	0	0
155	1728	0	0
156	1735	0	0
157	1779	0	0
158	1781	0	0
159	1796	0	0
160	1797	0	0
161	1801	0	0
162	1809	0	0
163	1838	0	0
164	1841	0	0
165	1877	0	0
166	1963	0	0
167	1975	0	0
168	1985	0	0
169	2011	0	0
170	2034	0	0
171	2042	0	0
172	2046	0	0
173	2076	0	0
174	2083	0	0
175	2139	0	0
176	2146	0	0
177	2167	0	0
178	2178	0	0
179	2182	0	0
180	2184	0	0
181	2495	0	0
182	3050	0	0
183	3053	0	0
184	3139	0	0
185	3154	0	0
186	3160	0	0
187	3171	0	0
188	3194	0	0
189	3294	0	0
190	3226	0	0
191	3306	0	0
192	3314	0	0
193	1521	0	0
194	1522	0	0
195	1529	0	0
196	1530	0	0
197	1534	0	0
198	1539	0	0
199	1547	0	0
200	1550	0	0
201	1557	0	0
202	1570	0	0
203	1576	0	0
204	1584	0	0
205	1595	0	0
206	1618	0	0
207	1633	0	0
208	1658	0	0
209	1665	0	0
210	1666	0	0
211	1671	0	0
212	1674	0	0
213	1680	0	0
214	2353	0	0
215	2361	0	0
216	2465	0	0
217	3018	0	0
218	3037	0	0
219	3041	0	0
220	3043	0	0
221	3056	0	0
222	3058	0	0
223	3064	0	0
224	3066	0	0
225	3079	0	0
226	3106	0	0
227	3129	0	0
228	3130	0	0
229	3166	0	0
230	3190	0	0
231	3210	0	0
232	3237	0	0
233	3260	0	0
234	3267	0	0
235	3287	0	0
236	3305	0	0
237	3309	0	0
238	3319	0	0
239	3329	0	0
240	3331	0	0
241	697	0	0
242	1491	0	0
243	1553	0	0
244	1559	0	0
245	1561	0	0
246	1573	0	0
247	1580	0	0
248	1644	0	0
249	1647	0	0
250	1754	0	0
251	2015	0	0
252	2187	0	0
253	2194	0	0
254	2204	7	0
255	2217	0	0
256	2233	0	0
257	2234	0	0
258	2240	0	0
259	2242	0	0
260	2249	0	0
261	2251	0	0
262	2261	0	0
263	2262	0	0
264	2274	0	0
265	2282	0	0
266	2291	0	0
267	2308	0	0
268	2312	0	0
269	2323	0	0
270	2324	0	0
271	2333	0	0
272	2340	0	0
273	2347	0	0
274	2356	0	0
275	2399	0	0
276	2416	0	0
277	2430	0	0
278	2435	0	0
279	2439	0	0
280	2473	0	0
281	2474	0	0
282	2490	0	0
283	2504	0	0
284	2505	0	0
285	2507	0	0
286	2513	0	0
287	3249	0	0
288	3256	0	0
289	747	0	0
